product_id,NOVA_Predicted,nutrient_profile,High_Sodium_Predicted,High_Sugar_Predicted,High_Fat_Predicted,High_Sat_Fat_Predicted,High_Added_Sugar_Predicted,High_Energy_Predicted
Y240,Ultra Processed,0,False,False,False,False,False,False
Y241,Ultra Processed,1,False,True,False,False,False,False
Y242,Ultra Processed,1,False,False,True,False,False,False
Y243,Ultra Processed,0,False,False,False,False,False,False
SSH244,Processed Culinary Ingredients,0,False,False,False,False,False,False
SSH245,Ultra Processed,0,False,False,False,False,False,False
SSH246,Ultra Processed,1,False,True,False,False,False,False
SSH247,Minimally Processed,0,False,False,False,False,False,False
SSH248,Processed,0,False,False,False,False,False,False
SSH249,Processed Culinary Ingredients,0,False,False,False,False,False,False
SSH250,Ultra Processed,0,False,False,False,False,False,False
SSH251,Processed,0,False,False,False,False,False,False
SSH252,Processed,0,False,False,False,False,False,False
SSH253,Ultra Processed,0,False,False,False,False,False,False
SSH254,Processed,0,False,False,False,False,False,False
SSH255,Processed,0,False,False,False,False,False,False
SSH256,Ultra Processed,2,True,True,False,False,False,False
SSH257,Minimally Processed,0,False,False,False,False,False,False
SSH258,Processed,0,False,False,False,False,False,False
SSH259,Processed Culinary Ingredients,1,False,True,False,False,False,False
SSH260,Minimally Processed,1,False,True,False,False,False,False
SSH261,Processed Culinary Ingredients,1,False,True,False,False,False,False
SSH262,Minimally Processed,0,False,False,False,False,False,False
SSH263,Minimally Processed,1,False,True,False,False,False,False
SSH264,Ultra Processed,1,False,True,False,False,False,False
SSH265,Ultra Processed,0,False,False,False,False,False,False
SSH266,Ultra Processed,1,False,True,False,False,False,False
SSH267,Processed Culinary Ingredients,1,False,True,False,False,False,False
SSH268,Ultra Processed,0,False,False,False,False,False,False
SSH269,Processed Culinary Ingredients,1,False,True,False,False,False,False
SSH270,Processed Culinary Ingredients,1,False,True,False,False,False,False
SSH271,Processed,0,False,False,False,False,False,False
SSH272,Processed,0,False,False,False,False,False,False
SSH273,Processed Culinary Ingredients,1,False,True,False,False,False,False
B274,Ultra Processed,0,False,False,False,False,False,False
B275,Minimally Processed,0,False,False,False,False,False,False
B276,Minimally Processed,0,False,False,False,False,False,False
B277,Minimally Processed,0,False,False,False,False,False,False
B278,Ultra Processed,2,False,True,True,False,False,False
B279,Minimally Processed,0,False,False,False,False,False,False
B280,Minimally Processed,0,False,False,False,False,False,False
B281,Ultra Processed,1,False,True,False,False,False,False
B282,Ultra Processed,1,False,True,False,False,False,False
B283,Minimally Processed,0,False,False,False,False,False,False
B284,Minimally Processed,0,False,False,False,False,False,False
B285,Minimally Processed,0,False,False,False,False,False,False
B286,Ultra Processed,1,False,True,False,False,False,False
B287,Ultra Processed,1,False,True,False,False,False,False
B288,Minimally Processed,0,False,False,False,False,False,False
B289,Ultra Processed,0,False,False,False,False,False,False
B290,Ultra Processed,1,False,True,False,False,False,False
B291,Minimally Processed,0,False,False,False,False,False,False
B292,Processed,1,False,True,False,False,False,False
B293,Ultra Processed,0,False,False,False,False,False,False
B294,Ultra Processed,0,False,False,False,False,False,False
B295,Ultra Processed,0,False,False,False,False,False,False
B296,Ultra Processed,1,False,True,False,False,False,False
B297,Minimally Processed,0,False,False,False,False,False,False
B298,Ultra Processed,1,False,True,False,False,False,False
B299,Processed,0,False,False,False,False,False,False
B300,Processed,0,False,False,False,False,False,False
B301,Ultra Processed,0,False,False,False,False,False,False
B29,Ultra Processed,1,False,True,False,False,False,False
BI1,Ultra Processed,0,False,False,False,False,False,False
BI2,Minimally Processed,0,False,False,False,False,False,False
BI3,Ultra Processed,1,False,False,True,False,False,False
BI4,Ultra Processed,4,True,True,True,True,False,False
BI5,Ultra Processed,0,False,False,False,False,False,False
BI6,Ultra Processed,0,False,False,False,False,False,False
BI7,Ultra Processed,1,False,False,True,False,False,False
BI8,Ultra Processed,4,True,True,True,True,False,False
BI9,Ultra Processed,4,True,True,True,True,False,False
BI10,Minimally Processed,1,False,False,True,False,False,False
BI11,Ultra Processed,4,True,True,True,True,False,False
BI12,Ultra Processed,1,False,False,True,False,False,False
BI13,Ultra Processed,2,True,False,True,False,False,False
BI14,Ultra Processed,1,False,False,True,False,False,False
BI15,Ultra Processed,1,False,False,True,False,False,False
FW1,Ultra Processed,0,False,False,False,False,False,False
FW2,Ultra Processed,0,False,False,False,False,False,False
FW3,Processed,1,False,True,False,False,False,False
FW4,Ultra Processed,0,False,False,False,False,False,False
FW5,Minimally Processed,0,False,False,False,False,False,False
FW6,Ultra Processed,1,False,True,False,False,False,False
AW1,Minimally Processed,0,False,False,False,False,False,False
AW2,Ultra Processed,0,False,False,False,False,False,False
AW3,Minimally Processed,0,False,False,False,False,False,False
AW4,Minimally Processed,0,False,False,False,False,False,False
AW5,Minimally Processed,0,False,False,False,False,False,False
AW6,Minimally Processed,0,False,False,False,False,False,False
AW7,Ultra Processed,0,False,False,False,False,False,False
AW8,Ultra Processed,0,False,False,False,False,False,False
AW9,Minimally Processed,0,False,False,False,False,False,False
AW10,Minimally Processed,0,False,False,False,False,False,False
AW11,Minimally Processed,0,False,False,False,False,False,False
AW12,Ultra Processed,0,False,False,False,False,False,False
AW13,Ultra Processed,0,False,False,False,False,False,False
AW14,Ultra Processed,1,False,True,False,False,False,False
AW15,Minimally Processed,0,False,False,False,False,False,False
P1,Processed Culinary Ingredients,0,False,False,False,False,False,False
P2,Minimally Processed,0,False,False,False,False,False,False
P3,Ultra Processed,0,False,False,False,False,False,False
P4,Minimally Processed,0,False,False,False,False,False,False
P5,Ultra Processed,0,False,False,False,False,False,False
P6,Ultra Processed,2,True,True,False,False,False,False
P7,Ultra Processed,0,False,False,False,False,False,False
P8,Ultra Processed,2,True,True,False,False,False,False
P9,Processed Culinary Ingredients,0,False,False,False,False,False,False
P10,Processed Culinary Ingredients,0,False,False,False,False,False,False
P11,Ultra Processed,2,True,True,False,False,False,False
P12,Ultra Processed,0,False,False,False,False,False,False
CO1,Processed Culinary Ingredients,2,False,False,True,True,False,False
CO2,Minimally Processed,0,False,False,False,False,False,False
CO3,Processed,2,False,False,True,True,False,False
CO4,Processed Culinary Ingredients,2,False,False,True,True,False,False
CO5,Minimally Processed,0,False,False,False,False,False,False
CO6,Processed,2,False,False,True,True,False,False
CO7,Processed,2,False,False,True,True,False,False
CO8,Minimally Processed,2,False,False,True,True,False,False
CO9,Processed,2,False,False,True,True,False,False
CO10,Minimally Processed,2,False,False,True,True,False,False
CO11,Processed Culinary Ingredients,2,False,False,True,True,False,False
CO12,Minimally Processed,2,False,False,True,True,False,False
CO13,Ultra Processed,0,False,False,False,False,False,False
CO14,Minimally Processed,2,False,False,True,True,False,False
CO15,Minimally Processed,2,False,False,True,True,False,False
CO16,Processed,2,False,False,True,True,False,False
CO17,Processed,2,False,False,True,True,False,False
CO18,Processed,2,False,False,True,True,False,False
CO19,Processed,2,False,False,True,True,False,False
CO20,Minimally Processed,0,False,False,False,False,False,False
CO21,Minimally Processed,0,False,False,False,False,False,False
Br1,Ultra Processed,0,False,False,False,False,False,False
Br2,Processed,0,False,False,False,False,False,False
Br3,Processed,0,False,False,False,False,False,False
Br4,Ultra Processed,0,False,False,False,False,False,False
Br5,Processed,0,False,False,False,False,False,False
Br6,Processed,0,False,False,False,False,False,False
Br7,Processed,0,False,False,False,False,False,False
PS1,Minimally Processed,0,False,False,False,False,False,False
PS2,Processed,0,False,False,False,False,False,False
PS3,Ultra Processed,0,False,False,False,False,False,False
PS4,Minimally Processed,0,False,False,False,False,False,False
PS5,Minimally Processed,1,True,False,False,False,False,False
PS6,Minimally Processed,0,False,False,False,False,False,False
PS7,Processed,0,False,False,False,False,False,False
PS8,Processed,0,False,False,False,False,False,False
PS9,Minimally Processed,0,False,False,False,False,False,False
PS10,Minimally Processed,2,True,False,True,False,False,False
PS11,Minimally Processed,0,False,False,False,False,False,False
FJ1,Ultra Processed,1,False,True,False,False,False,False
FJ2,Ultra Processed,0,False,False,False,False,False,False
FJ3,Ultra Processed,0,False,False,False,False,False,False
FJ4,Ultra Processed,0,False,False,False,False,False,False
FJ5,Ultra Processed,0,False,False,False,False,False,False
FJ6,Ultra Processed,1,False,True,False,False,False,False
FJ7,Ultra Processed,1,False,True,False,False,False,False
FJ8,Ultra Processed,0,False,False,False,False,False,False
FJ9,Ultra Processed,0,False,False,False,False,False,False
FJ10,Processed,0,False,False,False,False,False,False
FJ11,Ultra Processed,0,False,False,False,False,False,False
FJ12,Processed,1,False,True,False,False,False,False
FJ13,Ultra Processed,1,False,True,False,False,False,False
FJ14,Ultra Processed,1,False,True,False,False,False,False
FJ15,Ultra Processed,1,False,True,False,False,False,False
FJ16,Ultra Processed,1,False,True,False,False,False,False
FJ17,Ultra Processed,1,False,True,False,False,False,False
FJ18,Ultra Processed,1,False,True,False,False,False,False
FJ19,Ultra Processed,0,False,False,False,False,False,False
FJ20,Ultra Processed,0,False,False,False,False,False,False
FJ21,Ultra Processed,0,False,False,False,False,False,False
FJ22,Ultra Processed,0,False,False,False,False,False,False
MSS1,Ultra Processed,1,False,False,True,False,False,False
MSS2,Ultra Processed,3,True,False,True,True,False,False
MSS3,Ultra Processed,3,False,True,True,True,False,False
MSS4,Processed,0,False,False,False,False,False,False
MSS5,Ultra Processed,0,False,False,False,False,False,False
MSS6,Minimally Processed,3,True,False,True,True,False,False
MSS7,Ultra Processed,1,False,True,False,False,False,False
MSS8,Minimally Processed,2,False,False,True,True,False,False
MSS9,Ultra Processed,3,True,False,True,True,False,False
MSS10,Minimally Processed,3,True,False,True,True,False,False
MSS11,Minimally Processed,0,False,False,False,False,False,False
MSS12,Ultra Processed,3,True,True,True,False,False,False
MSS13,Ultra Processed,1,False,True,False,False,False,False
MSS14,Minimally Processed,1,False,True,False,False,False,False
MSS15,Processed,0,False,False,False,False,False,False
MSS16,Ultra Processed,3,False,True,True,True,False,False
MSS17,Minimally Processed,0,False,False,False,False,False,False
MSS18,Ultra Processed,0,False,False,False,False,False,False
MSS19,Ultra Processed,1,False,True,False,False,False,False
Be1,Minimally Processed,0,False,False,False,False,False,False
Be2,Ultra Processed,0,False,False,False,False,False,False
Be3,Minimally Processed,0,False,False,False,False,False,False
Be4,Minimally Processed,0,False,False,False,False,False,False
Be5,Ultra Processed,0,False,False,False,False,False,False
Be6,Minimally Processed,0,False,False,False,False,False,False
Be7,Ultra Processed,0,False,False,False,False,False,False
Be8,Ultra Processed,1,False,True,False,False,False,False
Be9,Minimally Processed,0,False,False,False,False,False,False
Be10,Minimally Processed,0,False,False,False,False,False,False
Be11,Ultra Processed,0,False,False,False,False,False,False
Be12,Minimally Processed,0,False,False,False,False,False,False
Be13,Ultra Processed,0,False,False,False,False,False,False
Pa1,Minimally Processed,0,False,False,False,False,False,False
Pa2,Minimally Processed,1,False,True,False,False,False,False
Pa3,Minimally Processed,1,False,True,False,False,False,False
Pa4,Minimally Processed,0,False,False,False,False,False,False
Pa5,Minimally Processed,0,False,False,False,False,False,False
Pa6,Minimally Processed,0,False,False,False,False,False,False
Pa7,Minimally Processed,0,False,False,False,False,False,False
Pa8,Minimally Processed,1,False,True,False,False,False,False
Pa9,Minimally Processed,0,False,False,False,False,False,False
Pa10,Minimally Processed,0,False,False,False,False,False,False
Pa11,Minimally Processed,0,False,False,False,False,False,False
Pa12,Minimally Processed,0,False,False,False,False,False,False
Pa13,Minimally Processed,0,False,False,False,False,False,False
SG1,Minimally Processed,0,False,False,False,False,False,False
SG2,Ultra Processed,1,False,False,True,False,False,False
SG3,Minimally Processed,1,False,True,False,False,False,False
SG4,Ultra Processed,0,False,False,False,False,False,False
SG5,Ultra Processed,1,False,True,False,False,False,False
SG6,Ultra Processed,1,False,True,False,False,False,False
SG7,Ultra Processed,1,False,True,False,False,False,False
SG8,Ultra Processed,1,False,True,False,False,False,False
SG9,Ultra Processed,3,False,True,True,True,False,False
SG10,Minimally Processed,4,True,True,True,True,False,False
SG11,Ultra Processed,3,False,True,True,True,False,False
SG12,Ultra Processed,4,True,True,True,True,False,False
SG13,Ultra Processed,4,True,True,True,True,False,False
SG14,Ultra Processed,0,False,False,False,False,False,False
SG15,Ultra Processed,0,False,False,False,False,False,False
